"Project:","Unnamed Project"
"User:","Rockwell Automation"
"Data item:","Record 15"
"Run date:",06/24/2024
"Options:",YDT   ,1

Time,Observation
759.37723955487,753.65591317002
776.55822378213,770.79556408116
782.44570263031,776.55822378213
788.26900692442,782.44570263031
797.51001164758,791.79835706562
803.42532532738,797.51001164758
809.14128529731,803.42532532738
840.35726820837,834.43877039596
846.11757236241,840.35726820837
852.04244696503,846.11757236241
863.32820450201,857.38034008251
869.02969234335,863.32820450201
878.41190696801,872.61147955391
905.80836816121,899.81340619797
913.47991652743,907.7732875199
919.28761105909,913.47991652743
925.21586025841,919.28761105909
930.96633858984,925.21586025841
936.97581984634,930.96633858984
942.8398834232,936.97581984634
948.70037552566,942.8398834232
954.56604330653,948.70037552566
960.5442545035,954.56604330653
966.39211733889,960.5442545035
972.299266274,966.39211733889
978.8216297392,973.10688828732
984.71439705358,978.8216297392
990.63387892746,984.71439705358
996.40822568646,990.63387892746
1002.3535879377,996.40822568646
1008.1739416426,1002.3535879377
1014.0249489826,1008.1739416426
1019.6952168879,1014.0249489826
1025.3902561375,1019.6952168879
1031.1115812256,1025.3902561375
1037.0364110427,1031.1115812256
1044.4935139549,1038.8208351395
1053.0713018905,1047.1942226821
1062.4828841132,1056.6099454168
1068.2758663317,1062.4828841132
1073.987381092,1068.2758663317
1079.7005956221,1073.987381092
1085.4559598935,1079.7005956221
1099.5243275549,1093.5007999878
1105.4142157212,1099.5243275549
1111.1647557314,1105.4142157212
1116.9187090787,1111.1647557314
1122.8607639783,1116.9187090787
1128.5288091707,1122.8607639783
1134.2194821775,1128.5288091707
1140.1517984679,1134.2194821775
1145.8441728168,1140.1517984679
1151.6472364855,1145.8441728168
1159.1137197023,1153.2730636154
1164.8188818605,1159.1137197023
1176.0761022118,1170.3274561337
1183.9467446202,1178.1541090342
1194.5395389109,1188.8629614064
1200.5550159815,1194.5395389109
1206.3355842479,1200.5550159815
1212.3512783838,1206.3355842479
1218.101545233,1212.3512783838
1224.0795916631,1218.3211368608
1230.0905129708,1224.0795916631
1235.7567727683,1230.0905129708
1241.5944397992,1235.7567727683
1247.5311572058,1241.5944397992
1253.5202257242,1247.5311572058
1260.2768495525,1254.3594533945
1265.9494558147,1260.2768495525
1271.8928770078,1265.9494558147
1277.7798255517,1271.8928770078
1283.4991682402,1277.7798255517
1289.3316522398,1283.4991682402
1295.1724347533,1289.3316522398
1301.1089074393,1295.1724347533
1306.8667559167,1301.1089074393
1335.796334917,1329.9229434282
1341.5622368776,1335.796334917
1365.1873495453,1359.4472537198
1371.1864792208,1365.1873495453
1376.9641606481,1371.1864792208
1382.8732548049,1376.9641606481
1388.852864466,1382.8732548049
1394.6628599118,1388.852864466
1400.6572637658,1394.6628599118
1406.3075174138,1400.6572637658
1412.1945132628,1406.3075174138
1420.7523497889,1415.0585472502
1429.3890889842,1423.529987263
1457.2172049534,1451.471789003
1462.9070774317,1457.2172049534
1501.5145185901,1495.6633559664
1512.3899113455,1506.7142325892
1518.2065098181,1512.3899113455
1524.168781909,1518.2065098181
1530.3594954445,1524.3633326052
1541.958456192,1536.2637778817
1547.9365792876,1541.958456192
1553.8673207181,1547.9365792876
1587.5961765954,1581.6800809464
1593.4082780905,1587.5961765954
1599.3397431279,1593.4082780905
1605.3270533514,1599.3397431279
1611.0510158694,1605.3270533514
1616.9456870453,1611.0510158694
1633.797435942,1628.0051627308
1646.2725916144,1640.3710109552
1653.0571999403,1647.274689794
1674.9959950313,1669.2344153859
1680.9788136818,1674.9959950313
1686.9684474419,1680.9788136818
